f1 = [ 1	0,456342454887443	0,912684909774886	0,663856705043549	0,248178977309882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f2 = [ 3	0,336143294956451	0,751821022690119	0,847427081945375	0,468790442984303	0,0901538040232314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f3 = [ 5	0,152572918054625	0,531209557015697	0,909846195976769	0,737223902722999	0,392327616974456	0,0474313312259122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f4 = [ 8	0,262776097277001	0,607672383025544	0,952568668774088	0,729042180818210	0,414879641636757	0,100717102455305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f5 = [ 11	0,270957819181791	0,585120358363243	0,899282897544695	0,805574709994210	0,519407229788591	0,233239749582972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f6 = [ 14	0,194425290005790	0,480592770211409	0,766760250417028	0,951788665368100	0,691121601304379	0,430454537240657	0,169787473176936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f7 = [ 17	0,0482113346319001	0,308878398695622	0,569545462759343	0,830212526823064	0,917218699613425	0,679779706759386	0,442340713905348	0,204901721051309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f8 = [ 21	0,0827813003865749	0,320220293240614	0,557659286094652	0,795098278948691	0,970362128123829	0,754081350458113	0,537800572792398	0,321519795126682	0,105239017460967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9 = [ 25	0,0296378718761712	0,245918649541887	0,462199427207602	0,678480204873318	0,894760982539033	0,898853183456618	0,701845210059250	0,504837236661882	0,307829263264513	0,110821289867145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f10 = [ 30	0,101146816543382	0,298154789940750	0,495162763338118	0,692170736735487	0,889178710132855	0,921493421470986	0,742040850599772	0,562588279728557	0,383135708857342	0,203683137986128	0,0242305671149128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f11 = [ 35	0,0785065785290137	0,257959149400228	0,437411720271443	0,616864291142658	0,796316862013873	0,975769432885087	0,858609846345326	0,695148314119247	0,531686781893168	0,368225249667089	0,204763717441011	0,0413021852149316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f12 = [ 41	0,141390153654674	0,304851685880753	0,468313218106832	0,631774750332911	0,795236282558990	0,958697814785068	0,888726286052989	0,739830829231292	0,590935372409596	0,442039915587899	0,293144458766203	0,144249001944507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
